Specific Heat for N2
Temp	Cp
175	1.039
200	1.039
225	1.039
250	1.039
275	1.039
300	1.040
325	1.040
350	1.041
375	1.042
400	1.044
450	1.049
500	1.056
550	1.065
600	1.075
650	1.086
700	1.098
750	1.110
800	1.122
850	1.134
900	1.146
950	1.157
1000	1.167
1050	1.177
1100	1.187
1150	1.196
1200	1.204
1250	1.212
1300	1.219
1350	1.226
1400	1.232
1500	1.244
1600	1.254
1700	1.263
1800	1.271
1900	1.278
2000	1.284
2100	1.290
2200	1.295
2300	1.300
2400	1.304
2500	1.307
2600	1.311
2700	1.314
2800	1.317
2900	1.320
3000	1.323
3500	1.333
4000	1.342
4500	1.349
5000	1.355
5500	1.362
6000	1.369
